4s,6s,SR,balls,batsmanName,battingPos,dismissal,match,runs,teamInnings,out_notout,scorecard
0,0,50 00,6,Michael van Lingen,1.0,c Pramod Madushan b Chameera,Namibia Vs Sri Lanka,3,Namibia,out,T20I   1823
1,0,100 00,9,Divan la Cock,2.0,c Shanaka b Pramod Madushan,Namibia Vs Sri Lanka,9,Namibia,out,T20I   1823
1,2,166 66,12,Jan Nicol Loftie Eaton,3.0,c  Mendis b Karunaratne,Namibia Vs Sri Lanka,20,Namibia,out,T20I   1823
2,0,108 33,24,Stephan Baard,4.0,c DM de Silva b Pramod Madushan,Namibia Vs Sri Lanka,26,Namibia,out,T20I   1823
0,0,83 33,24,Gerhard Erasmus c ,5.0,c Gunathilaka b PWH de Silva,Namibia Vs Sri Lanka,20,Namibia,out,T20I   1823
4,0,157 14,28,Jan Frylinck,6.0,run out  Gunathilaka  Mendis ,Namibia Vs Sri Lanka,44,Namibia,out,T20I   1823
0,0,0 00,1,David Wiese,7.0,c  Mendis b Theekshana,Namibia Vs Sri Lanka,0,Namibia,out,T20I   1823
2,2,193 75,16,JJ Smit,8.0,,Namibia Vs Sri Lanka,31,Namibia,notout,T20I   1823
1,0,90 00,10,Pathum Nissanka,1.0,c Smit b Shikongo,Namibia Vs Sri Lanka,9,Sri Lanka,out,T20I   1823
0,0,100 00,6,Kusal Mendis ,2.0,c  Green b Wiese,Namibia Vs Sri Lanka,6,Sri Lanka,out,T20I   1823
1,0,109 09,11,Dhananjaya de Silva,3.0,c Shikongo b Frylinck,Namibia Vs Sri Lanka,12,Sri Lanka,out,T20I   1823
0,0,0 00,1,Danushka Gunathilaka,4.0,c  Green b Shikongo,Namibia Vs Sri Lanka,0,Sri Lanka,out,T20I   1823
2,0,95 23,21,Bhanuka Rajapaksa,5.0,c la Cock b Scholtz,Namibia Vs Sri Lanka,20,Sri Lanka,out,T20I   1823
2,1,126 08,23,Dasun Shanaka c ,6.0,c  Green b Frylinck,Namibia Vs Sri Lanka,29,Sri Lanka,out,T20I   1823
0,0,50 00,8,Wanindu Hasaranga de Silva,7.0,c Loftie Eaton b Scholtz,Namibia Vs Sri Lanka,4,Sri Lanka,out,T20I   1823
0,0,62 50,8,Chamika Karunaratne,8.0,c Baard b Smit,Namibia Vs Sri Lanka,5,Sri Lanka,out,T20I   1823
0,0, ,0,Pramod Madushan,9.0,run out  van Lingen  Green ,Namibia Vs Sri Lanka,0,Sri Lanka,out,T20I   1823
0,0,53 33,15,Dushmantha Chameera,10.0,c Erasmus b Wiese,Namibia Vs Sri Lanka,8,Sri Lanka,out,T20I   1823
0,1,100 00,11,Maheesh Theekshana,11.0,,Namibia Vs Sri Lanka,11,Sri Lanka,notout,T20I   1823
1,0,60 00,20,Chirag Suri,1.0,c  Edwards b van der Merwe,U A E  Vs Netherlands,12,U A E ,out,T20I   1825
1,2,87 23,47,Muhammad Waseem,2.0,c Pringle b Klaassen,U A E  Vs Netherlands,41,U A E ,out,T20I   1825
0,1,107 14,14,Kashif Daud,3.0, b Pringle,U A E  Vs Netherlands,15,U A E ,out,T20I   1825
0,0,85 71,21,Vriitya Aravind ,4.0,c Klaassen b de Leede,U A E  Vs Netherlands,18,U A E ,out,T20I   1825
0,0,50 00,4,Zawar Farid,5.0,run out  Ackermann  Edwards ,U A E  Vs Netherlands,2,U A E ,out,T20I   1825
1,0,100 00,4,Basil Hameed,6.0,c van der Merwe b de Leede,U A E  Vs Netherlands,4,U A E ,out,T20I   1825
0,0,50 00,2,Chundangapoyil Rizwan c ,7.0, b de Leede,U A E  Vs Netherlands,1,U A E ,out,T20I   1825
0,0,71 42,7,Aayan Afzal Khan,8.0,c Cooper b Klaassen,U A E  Vs Netherlands,5,U A E ,out,T20I   1825
0,0, ,0,Karthik Meiyappan,9.0,,U A E  Vs Netherlands,0,U A E ,notout,T20I   1825
0,0,0 00,1,Junaid Siddique,10.0,,U A E  Vs Netherlands,0,U A E ,notout,T20I   1825
